Step,eval/mean_reward,eval/success_rate
0,-10.0,0.0
25000,4.62988011042277,0.0
50000,32.71907997131348,0.026666666070620168
75000,32.11309305826823,0.019999999552965133
100000,33.978580474853516,0.0199999995529651
125000,43.847906748453774,0.033333332588275234
150000,48.926652908325195,0.04666666562358534
175000,54.633965810139976,0.05999999865889544
200000,42.414374033610024,0.0333333325882752
225000,34.0206073919932,0.019999999552965133
250000,48.08999379475912,0.03999999910593027
275000,56.138644536336265,0.04666666562358534
300000,32.503326416015625,0.0266666660706202
325000,48.63732624053955,0.0533333321412404
350000,37.93527913093567,0.019999999552965133
375000,70.07064819335938,0.07999999945362403
400000,60.88663864135742,0.06666666517655047
425000,38.259307543436684,0.026666666070620168
450000,55.573280334472656,0.053333332141240364
475000,37.69194030761719,0.0333333325882752
500000,49.14528020222982,0.0333333325882752
